Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
180,58.08,0.5952999999999999,17.07,0,1,0,0,0,0.6666666666666666,4,0,0,0,0,0,1,0,0,0,0,0
8456,180.24699999999999,2.698300000000001,29.46,1,2,1,1,1,0.45454545454545453,13,0,0,0,0,0,0,1,1,0,0,0
3259,835.895,6.084200000000003,75.99000000000001,2,5,0,3,5,0.05,29,0,0,1,0,0,0,2,2,0,4,0
6106,131.17499999999995,0.44439999999999996,63.31999999999999,2,2,3,0,0,0.8333333333333334,9,1,0,0,0,0,0,0,0,0,0,1
16213095,580.5770000000005,-6.359799999999987,266.90999999999997,10,17,17,0,2,1.0,39,0,0,0,0,0,0,0,7,0,0,0
71406,574.8430000000003,8.355760000000005,82.06,1,6,18,1,2,0.7714285714285715,41,0,0,2,0,0,0,0,3,0,0,0
517044,98.142,-4.2398,40.129999999999995,0,2,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,1
2735133,124.003,-9.2637,94.69,0,3,0,0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0
9920342,428.61000000000007,4.048600000000005,96.22000000000001,3,6,18,0,1,0.875,30,0,0,1,0,0,0,0,2,0,0,0
14945,71.844,-0.1213,17.07,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
24928,172.171,-3.3682,143.26,0,4,0,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0
134159056,722.7310000000003,-4.160299999999983,272.59999999999997,8,20,18,0,3,1.0,49,0,0,0,0,0,0,0,12,0,0,0
5283468,356.547,4.920300000000006,66.76,2,4,18,0,0,0.8571428571428571,25,0,0,1,0,0,0,0,1,0,0,0
24180693,691.0659999999999,9.204600000000005,114.4,0,6,16,2,2,0.6666666666666666,45,0,0,0,0,0,0,0,0,0,0,0
24180701,675.2930000000006,10.069199999999999,114.4,0,6,22,2,2,0.6666666666666666,45,0,0,0,0,0,0,0,0,0,0,0
17734,255.27399999999994,0.4274999999999998,98.87,3,6,7,1,1,0.45454545454545453,18,0,1,0,0,0,0,0,0,0,0,0
154733643,1113.605999999999,15.718999999999966,194.97,3,15,59,0,0,0.8571428571428571,78,0,0,0,0,0,0,0,9,0,0,0
379,144.214,2.4314999999999998,37.3,1,1,6,0,0,0.875,10,0,0,0,0,0,0,0,0,0,0,1
4947,212.201,1.3702,86.99000000000001,3,5,3,1,1,0.3,15,0,0,1,0,0,0,3,1,0,0,0
26447,154.253,2.6477000000000013,17.07,0,1,1,0,1,0.9,11,0,0,0,0,0,1,0,0,0,0,0
244,108.13999999999997,1.1788999999999998,20.23,1,1,1,1,1,0.14285714285714285,8,0,0,0,0,0,0,0,0,0,0,0
21256123,231.531,-0.4827,114.0,0,0,0,0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0
24181099,491.4150000000002,-1.8762999999999987,203.42999999999998,3,9,6,2,3,0.0625,32,0,0,0,1,0,0,0,0,0,0,1
516893,100.114,-4.1083,60.36,1,2,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
25517,53.492000000000004,-2.6198,36.5,1,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,1,0
6658,100.11699999999999,0.7355,26.3,0,2,1,0,0,0.4,7,0,0,1,0,0,0,0,1,0,0,0
6781,222.23999999999995,2.04,52.60000000000001,0,4,4,1,1,0.3333333333333333,16,0,0,2,0,0,0,0,2,0,0,0
