API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
3036505,378.8990000000002,5.645700000000006,29.46,1,2,8,3,3,0.16666666666666666,27,0,0,0,0,0,0,0,1,0,1,0
3045381,505.05500000000035,3.731800000000003,60.47000000000001,0,6,10,2,4,0.5185185185185185,35,0,0,0,1,0,0,0,4,0,1,0
3052775,267.35,1.4006999999999998,66.4,2,3,2,1,2,0.38461538461538464,18,0,1,0,0,0,0,0,0,0,0,0
3058751,295.304,4.174300000000003,35.25,1,2,5,2,2,0.25,21,1,0,0,0,0,0,0,1,0,3,0
3062316,488.01700000000034,3.313540000000002,106.50999999999999,3,9,7,3,4,0.36363636363636365,33,0,2,0,1,0,0,0,0,0,1,0
3081361,475.3620000000001,5.004200000000004,59.510000000000005,1,6,6,3,4,0.36363636363636365,30,0,1,0,0,0,0,0,2,0,2,0
5018304,318.135,0.033399999999999486,52.16,1,3,4,2,2,0.07142857142857142,20,0,1,0,0,0,0,0,0,0,2,1
5280443,270.23999999999995,2.5768000000000018,90.9,3,5,1,3,3,0.0,20,0,0,0,0,0,0,3,0,0,0,0
5280445,286.239,2.2824000000000018,111.13000000000001,4,6,1,3,3,0.0,21,0,0,0,0,0,0,4,0,0,0,0
5280965,924.091000000001,0.7117000000000056,319.60999999999996,12,17,3,0,3,0.6595744680851063,65,1,0,1,0,0,0,0,4,0,0,1
5281004,430.5410000000002,2.716800000000001,93.06,2,6,4,0,5,0.76,31,0,0,0,0,0,2,0,2,0,0,0
5281040,586.1970000000003,8.948000000000002,70.42,2,4,12,4,5,0.3142857142857143,41,0,0,0,0,0,0,0,0,0,1,1
5281068,390.86700000000013,3.5304,90.73,2,4,7,2,2,0.25,27,0,0,0,0,0,0,0,0,0,1,2
5281792,360.31800000000004,1.7613000000000012,144.52,5,7,6,2,2,0.1111111111111111,26,0,0,1,0,0,0,4,1,0,0,1
5282379,300.44200000000006,5.602600000000005,37.3,1,1,5,0,1,0.45,22,0,0,0,0,0,0,0,0,0,0,1
5282455,1001.1539999999999,1.7532000000000034,287.49999999999994,4,16,20,4,4,0.4090909090909091,67,0,0,0,0,0,0,0,0,0,2,2
5284359,110.98400000000001,-6.3728,0.0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,2,0
5284583,170.212,-0.12729999999999997,63.400000000000006,1,2,3,0,1,0.75,12,1,0,0,2,0,0,0,0,0,0,0
5288227,114.05599999999998,-2.9576000000000002,80.25999999999999,0,4,2,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,2
5288826,285.343,1.1981,52.93000000000001,2,4,0,1,5,0.5294117647058824,21,0,0,0,0,0,0,1,1,0,0,0
5311027,415.5740000000001,3.1469000000000027,89.79,4,4,12,1,2,0.56,30,0,1,0,1,0,0,0,0,0,0,0
5311037,384.43600000000015,2.1240999999999994,80.28,0,5,6,3,3,0.35,28,0,0,0,0,0,0,0,2,0,0,0
5311083,713.1370000000001,4.676880000000004,150.82000000000002,0,10,10,6,6,0.29411764705882354,49,0,0,0,0,0,0,0,4,0,0,0
5311304,357.45000000000005,1.7073000000000005,73.16000000000001,3,5,2,1,6,0.7142857142857143,26,0,0,0,0,0,0,1,1,0,0,0
5311454,234.29499999999996,2.835500000000002,38.69,1,3,2,1,2,0.42857142857142855,17,0,0,0,0,0,0,0,2,0,0,0
5312125,495.54200000000014,3.0711000000000013,97.05000000000001,3,6,13,2,3,0.48,35,1,1,0,1,0,0,0,2,0,3,0
5330286,447.5430000000004,2.965820000000001,105.03999999999999,2,8,5,3,5,0.4583333333333333,33,0,2,0,0,0,1,0,0,0,0,0
5359227,397.36400000000003,0.5724999999999998,119.69000000000003,4,5,1,1,5,0.5555555555555556,27,0,0,0,0,0,0,0,2,0,0,0
5361917,436.3460000000001,-1.3259999999999974,66.76,2,4,2,1,6,0.6666666666666666,27,0,0,0,0,0,1,1,1,0,1,0
5362065,453.45800000000014,-0.5447999999999986,184.51,4,10,8,1,3,0.25,30,1,1,0,2,0,0,0,0,0,0,2
5362119,405.49500000000006,1.2352000000000014,132.96,4,5,12,1,2,0.5714285714285714,29,1,1,0,1,0,0,0,0,0,0,2
5388962,376.45300000000026,1.6046,95.94000000000001,2,5,9,1,2,0.55,27,0,1,1,1,0,0,0,1,0,0,1
5479530,554.5920000000003,-1.6112999999999957,214.95999999999998,4,13,8,2,4,0.3333333333333333,36,1,2,0,2,0,0,0,0,0,0,1
5486971,159.22899999999998,1.0821,63.31999999999999,2,2,5,0,0,0.875,11,1,0,0,0,0,0,0,0,0,0,1
5488548,424.54100000000017,3.051400000000001,89.87,3,4,8,2,3,0.44,31,0,1,0,1,0,0,1,0,0,0,1
5491577,507.50300000000027,-3.018899999999998,279.01,4,10,8,1,3,0.25,33,1,1,0,2,0,0,0,0,0,0,2
5702160,337.4560000000001,-0.7679999999999998,175.83,4,6,7,1,1,0.375,20,4,0,0,0,0,0,0,0,0,0,0
6093208,74.09200000000001,-0.7343999999999999,60.0,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
6321416,510.4810000000003,-0.168299999999998,189.06,2,12,9,1,3,0.4,35,1,1,2,3,0,0,0,3,0,0,0
6324616,697.7780000000001,4.754120000000007,201.30999999999997,6,12,2,2,5,0.4864864864864865,50,0,1,1,1,0,1,3,4,0,0,0
6328154,263.198,-3.668699999999998,155.51999999999998,6,7,5,0,0,0.75,17,0,0,0,0,1,0,0,0,0,0,1
6436173,785.8909999999998,6.157840000000006,198.37999999999997,5,12,2,4,6,0.4418604651162791,57,0,1,1,1,0,1,2,4,0,0,0
6442177,958.24,6.197200000000008,204.65999999999994,3,14,9,0,4,0.7547169811320755,68,0,0,1,1,0,3,0,6,0,0,0
